"ID","Arthromyces matolae 10171TJB","Arthromyces matolae 10185TJB","Asterophora lycoperdoides","Asterophora parasitica","Blastosporella zonata","Calocybe carnea","Calocybe cyanea","Calocybe gangraenosa","Hypsizygus ulmarius","Lyophyllum decastes","Lyophyllum semitale","Lyophyllum shimeji","Myochromella boudieri","Sphagnurus paluster","Tephrocybe rancida Trssc25","Tephrocybe rancida Trssc53","Tephrocybe sp1. 10521TJB","Tephrocybe sp2. 9174TJB","Tephrocybe sp3. HNL501043","Tephrocybe sp4. 9980TJB","Tephrocybe sp5. DS06151","Termitomyces bulborhizus","Termitomyces cryptogamus","Termitomyces cryptogamus T132","Termitomyces eurrhizus","Termitomyces fragilis","Termitomyces heimii","Termitomyces microcarpus","Termitomyces reticulatus","Termitomyces robustus","Termitomyces sagittiformis","Termitomyces sp. DKA19","Termitomyces sp. DKA64","Termitomyces sp. JCM13351","Termitomyces sp. K1Ag","Termitomyces sp. MG145","Termitomyces sp. MG16","Termitomyces sp. Mi166","Termitomyces sp. Mx157","Termitomyces sp. Od127","Termitomyces sp. T108a","Termitomyces sp. T27","Termitomyces sp. T70a","Termitomyces striatus","Termitomyces titanicus","Tricholomella constricta"
"GH7"," 7"," 7"," 0"," 0","13"," 2"," 3"," 3"," 1"," 4"," 3"," 2"," 5"," 7","10","11","22"," 6"," 9","10","10"," 6"," 4"," 5"," 5"," 4"," 4"," 3"," 3"," 8"," 5"," 3"," 5"," 4"," 5"," 6"," 4"," 4"," 5"," 6"," 2"," 7"," 5"," 6"," 5"," 5"
"GH71","1","1","4","1","1","0","0","0","1","3","1","2","0","2","1","1","1","1","1","0","0","1","0","0","0","0","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","1","0","1","1","3"
"GH72","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1"
"GH74","1","1","0","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","0","0","0","0","1","0","1","0","1","1","2","0","0","1","0","2","1","0","1","0","0","0","1","1"
"GH76","1","1","0","0","0","0","0","1","0","1","0","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"GH78","0","0","0","0","3","3","3","3","0","2","2","1","4","3","3","4","1","2","0","1","2","2","2","1","0","0","1","1","0","1","0","0","1","1","1","1","1","1","1","2","0","2","2","2","2","3"
"GH79","1","1","5","4","2","1","1","0","3","4","1","4","4","4","5","5","4","6","3","3","6","3","2","3","1","1","1","0","2","3","2","2","3","1","1","2","0","2","2","0","1","2","1","0","3","4"
"GH81","0","1","7","3","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","2","2","2","2","1","2","0","3","2","1","2","2","2","2","1","2","2","2","2","1","2","2","1","2","1"
"GH85","1","1","1","0","0","0","0","0","0","0","1","0","1","1","3","2","1","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","1"
"GH88","0","1","1","2","1","0","0","1","1","1","1","1","0","1","3","3","1","2","2","2","1","1","0","1","1","0","1","0","1","1","1","1","1","1","2","0","1","2","1","2","0","2","1","0","2","1"
"GH9","1","1","1","1","1","1","1","0","0","0","1","1","0","1","0","1","0","0","0","1","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","0","0","1","0","0","1","1","0","0","0","1"
